call id,agent,date,time,topic,answered (Y/N),resolved,speed of answer in seconds,avg talk duration,satisfaction rating
ID0048,Martha,"Friday, 1 January, 2021",17:13:55,Contract related,N,N,,0,
ID0049,Joe,"Friday, 1 January, 2021",17:25:26,Technical Support,Y,Y,104,215,5
ID0050,Dan,"Friday, 1 January, 2021",17:25:26,Technical Support,N,N,,0,
ID0051,Martha,"Friday, 1 January, 2021",17:35:31,Contract related,N,N,,0,
ID0052,Jim,"Friday, 1 January, 2021",17:35:31,Admin Support,N,N,,0,
ID0053,Stewart,"Friday, 1 January, 2021",17:36:58,Payment related,Y,Y,13,75,5
ID0054,Dan,"Friday, 1 January, 2021",17:36:58,Payment related,Y,Y,119,152,5
ID0055,Becky,"Friday, 1 January, 2021",17:44:10,Streaming,Y,Y,35,79,3
ID0056,Dan,"Friday, 1 January, 2021",17:44:10,Streaming,Y,Y,83,405,4
ID0057,Jim,"Friday, 1 January, 2021",17:57:07,Technical Support,Y,Y,48,172,2
ID0058,Stewart,"Friday, 1 January, 2021",17:57:07,Admin Support,Y,Y,45,203,5
ID0059,Dan,"Saturday, 2 January, 2021",09:05:46,Technical Support,Y,Y,65,360,5
ID0060,Dan,"Saturday, 2 January, 2021",09:05:46,Contract related,Y,Y,50,266,3
ID0061,Diane,"Saturday, 2 January, 2021",09:18:43,Streaming,Y,Y,17,375,3
ID0062,Joe,"Saturday, 2 January, 2021",09:18:43,Technical Support,N,N,,0,
ID0063,Dan,"Saturday, 2 January, 2021",09:20:10,Streaming,Y,Y,96,406,1
ID0064,Stewart,"Saturday, 2 January, 2021",09:20:10,Streaming,Y,Y,90,383,3
ID0065,Jim,"Saturday, 2 January, 2021",09:38:53,Contract related,Y,Y,98,385,2
ID0066,Diane,"Saturday, 2 January, 2021",09:38:53,Technical Support,Y,N,90,83,4
ID0067,Jim,"Saturday, 2 January, 2021",10:04:48,Contract related,Y,Y,98,349,5
ID0068,Jim,"Saturday, 2 January, 2021",10:04:48,Contract related,Y,Y,70,192,5
ID0069,Diane,"Saturday, 2 January, 2021",10:33:36,Contract related,Y,Y,69,285,4
ID0070,Diane,"Saturday, 2 January, 2021",10:33:36,Admin Support,N,N,,0,
ID0071,Joe,"Saturday, 2 January, 2021",11:08:10,Technical Support,Y,Y,120,131,4
ID0072,Stewart,"Saturday, 2 January, 2021",11:08:10,Admin Support,Y,Y,113,351,5
ID0073,Greg,"Saturday, 2 January, 2021",11:26:53,Payment related,Y,N,10,139,5
ID0074,Becky,"Saturday, 2 January, 2021",11:26:53,Contract related,Y,Y,122,293,1
ID0075,Stewart,"Saturday, 2 January, 2021",11:42:43,Technical Support,Y,N,125,98,3
ID0076,Diane,"Saturday, 2 January, 2021",11:42:43,Admin Support,N,N,,0,
ID0077,Martha,"Saturday, 2 January, 2021",11:47:02,Technical Support,Y,Y,33,398,2
ID0078,Dan,"Saturday, 2 January, 2021",11:47:02,Contract related,Y,Y,51,382,2
ID0079,Becky,"Saturday, 2 January, 2021",11:54:14,Contract related,Y,Y,58,208,3
ID0080,Dan,"Saturday, 2 January, 2021",11:54:14,Admin Support,Y,Y,121,287,5
ID0081,Diane,"Saturday, 2 January, 2021",12:00:00,Admin Support,Y,Y,118,126,4
ID0082,Greg,"Saturday, 2 January, 2021",12:00:00,Payment related,Y,Y,52,416,4
ID0083,Stewart,"Saturday, 2 January, 2021",12:20:10,Admin Support,Y,Y,55,284,3
ID0084,Dan,"Saturday, 2 January, 2021",12:20:10,Contract related,Y,Y,68,359,4
ID0085,Becky,"Saturday, 2 January, 2021",12:41:46,Technical Support,Y,Y,106,262,5
ID0086,Martha,"Saturday, 2 January, 2021",12:41:46,Technical Support,Y,Y,32,276,3
ID0087,Jim,"Saturday, 2 January, 2021",12:44:38,Payment related,N,N,,0,
ID0088,Martha,"Saturday, 2 January, 2021",12:44:38,Admin Support,Y,N,45,86,4
ID0089,Joe,"Saturday, 2 January, 2021",12:59:02,Technical Support,Y,Y,119,212,4
ID0090,Dan,"Saturday, 2 January, 2021",12:59:02,Streaming,N,N,,0,
ID0091,Jim,"Saturday, 2 January, 2021",13:03:22,Contract related,Y,Y,46,341,1
ID0092,Stewart,"Saturday, 2 January, 2021",13:03:22,Technical Support,Y,Y,101,88,3
ID0093,Jim,"Saturday, 2 January, 2021",13:04:48,Technical Support,Y,Y,56,172,3
ID0094,Becky,"Saturday, 2 January, 2021",13:04:48,Technical Support,Y,Y,80,53,3
ID0095,Diane,"Saturday, 2 January, 2021",13:13:26,Streaming,Y,Y,24,96,3
ID0096,Stewart,"Saturday, 2 January, 2021",13:13:26,Payment related,Y,Y,113,234,2
ID0097,Greg,"Saturday, 2 January, 2021",13:20:38,Contract related,Y,Y,19,123,4
ID0098,Martha,"Saturday, 2 January, 2021",13:20:38,Streaming,N,N,,0,
ID0099,Dan,"Saturday, 2 January, 2021",13:20:38,Contract related,Y,Y,45,397,3
ID0100,Diane,"Saturday, 2 January, 2021",13:20:38,Technical Support,Y,Y,95,311,1
ID0101,Becky,"Saturday, 2 January, 2021",13:45:07,Technical Support,N,N,,0,
ID0102,Martha,"Saturday, 2 January, 2021",13:45:07,Technical Support,Y,N,79,331,1
ID0103,Diane,"Saturday, 2 January, 2021",13:49:26,Payment related,Y,Y,22,236,2
ID0104,Martha,"Saturday, 2 January, 2021",13:49:26,Contract related,Y,Y,38,396,1
ID0105,Becky,"Saturday, 2 January, 2021",13:53:46,Technical Support,Y,Y,112,205,5
ID0106,Becky,"Saturday, 2 January, 2021",13:53:46,Payment related,Y,Y,65,297,3
ID0107,Joe,"Saturday, 2 January, 2021",14:22:34,Streaming,N,N,,0,
ID0108,Becky,"Saturday, 2 January, 2021",14:22:34,Contract related,Y,N,55,152,1
ID0109,Stewart,"Saturday, 2 January, 2021",14:52:48,Admin Support,N,N,,0,
ID0110,Joe,"Saturday, 2 January, 2021",14:52:48,Streaming,Y,Y,19,158,2
ID0111,Becky,"Saturday, 2 January, 2021",15:10:05,Technical Support,Y,Y,53,56,3
ID0112,Diane,"Saturday, 2 January, 2021",15:10:05,Technical Support,Y,Y,24,366,5
ID0113,Martha,"Saturday, 2 January, 2021",15:36:00,Streaming,Y,Y,73,361,3
ID0114,Stewart,"Saturday, 2 January, 2021",15:36:00,Technical Support,N,N,,0,
ID0115,Jim,"Saturday, 2 January, 2021",17:36:58,Technical Support,Y,Y,55,347,5
ID0116,Greg,"Saturday, 2 January, 2021",17:36:58,Payment related,N,N,,0,
ID0117,Diane,"Saturday, 2 January, 2021",17:47:02,Streaming,N,N,,0,
ID0118,Martha,"Saturday, 2 January, 2021",17:47:02,Streaming,Y,Y,23,318,4
ID0119,Dan,"Sunday, 3 January, 2021",09:10:05,Payment related,Y,N,124,143,5
ID0120,Dan,"Sunday, 3 January, 2021",09:10:05,Contract related,N,N,,0,
ID0121,Dan,"Sunday, 3 January, 2021",09:47:31,Technical Support,Y,Y,103,61,4
ID0122,Martha,"Sunday, 3 January, 2021",09:47:31,Contract related,Y,Y,69,225,4
ID0123,Joe,"Sunday, 3 January, 2021",10:29:17,Streaming,Y,Y,78,72,3
ID0124,Martha,"Sunday, 3 January, 2021",10:29:17,Technical Support,Y,Y,78,206,5
ID0125,Martha,"Sunday, 3 January, 2021",10:37:55,Technical Support,N,N,,0,
ID0126,Diane,"Sunday, 3 January, 2021",10:37:55,Payment related,Y,Y,44,338,4
ID0127,Martha,"Sunday, 3 January, 2021",10:52:19,Admin Support,Y,Y,35,166,4
ID0128,Becky,"Sunday, 3 January, 2021",10:52:19,Admin Support,Y,Y,102,326,4
ID0129,Jim,"Sunday, 3 January, 2021",10:52:19,Contract related,Y,Y,99,351,3
ID0130,Jim,"Sunday, 3 January, 2021",10:52:19,Admin Support,Y,Y,29,249,3
ID0131,Becky,"Sunday, 3 January, 2021",10:58:05,Admin Support,Y,N,42,59,5
ID0132,Diane,"Sunday, 3 January, 2021",10:58:05,Payment related,Y,Y,113,340,4
ID0133,Dan,"Sunday, 3 January, 2021",11:02:24,Admin Support,Y,Y,124,53,2
ID0134,Jim,"Sunday, 3 January, 2021",11:02:24,Technical Support,N,N,,0,
ID0135,Dan,"Sunday, 3 January, 2021",11:03:50,Payment related,Y,Y,55,133,1
ID0136,Greg,"Sunday, 3 January, 2021",11:03:50,Technical Support,Y,N,105,359,3
ID0137,Stewart,"Sunday, 3 January, 2021",11:06:43,Contract related,Y,N,112,192,5
ID0138,Martha,"Sunday, 3 January, 2021",11:06:43,Contract related,N,N,,0,
ID0139,Becky,"Sunday, 3 January, 2021",11:16:48,Technical Support,Y,Y,43,380,5
ID0140,Joe,"Sunday, 3 January, 2021",11:16:48,Payment related,Y,Y,20,104,3
ID0141,Greg,"Sunday, 3 January, 2021",11:26:53,Technical Support,Y,Y,84,103,5
ID0142,Jim,"Sunday, 3 January, 2021",11:26:53,Contract related,Y,Y,20,164,4
ID0143,Greg,"Sunday, 3 January, 2021",11:38:24,Streaming,Y,Y,101,136,3
ID0144,Diane,"Sunday, 3 January, 2021",11:38:24,Technical Support,Y,Y,31,175,5
ID0145,Jim,"Sunday, 3 January, 2021",11:52:48,Contract related,Y,Y,56,249,5
ID0146,Joe,"Sunday, 3 January, 2021",11:52:48,Contract related,N,N,,0,
ID0147,Joe,"Sunday, 3 January, 2021",11:55:41,Payment related,Y,Y,77,87,5
ID0148,Jim,"Sunday, 3 January, 2021",11:55:41,Payment related,Y,Y,46,50,4
ID0149,Stewart,"Sunday, 3 January, 2021",11:58:34,Admin Support,Y,Y,88,266,3
ID0150,Diane,"Sunday, 3 January, 2021",11:58:34,Payment related,Y,Y,88,58,1
ID0151,Joe,"Sunday, 3 January, 2021",12:33:07,Technical Support,Y,Y,124,363,1
ID0152,Stewart,"Sunday, 3 January, 2021",12:33:07,Contract related,N,N,,0,
ID0153,Martha,"Sunday, 3 January, 2021",12:54:43,Payment related,Y,N,52,419,4
ID0154,Joe,"Sunday, 3 January, 2021",12:54:43,Admin Support,Y,Y,67,370,5
ID0155,Martha,"Sunday, 3 January, 2021",13:12:00,Payment related,Y,Y,119,256,3
ID0156,Dan,"Sunday, 3 January, 2021",13:12:00,Admin Support,Y,Y,98,277,2
ID0157,Jim,"Sunday, 3 January, 2021",13:14:53,Technical Support,N,N,,0,
ID0158,Joe,"Sunday, 3 January, 2021",13:14:53,Technical Support,Y,Y,118,258,3
ID0159,Becky,"Sunday, 3 January, 2021",13:27:50,Admin Support,Y,Y,123,75,3
ID0160,Becky,"Sunday, 3 January, 2021",13:27:50,Streaming,Y,N,86,337,1
ID0161,Greg,"Sunday, 3 January, 2021",13:35:02,Admin Support,Y,Y,104,129,3
ID0162,Greg,"Sunday, 3 January, 2021",13:35:02,Payment related,Y,Y,69,93,2
ID0163,Dan,"Sunday, 3 January, 2021",13:58:05,Contract related,Y,Y,113,158,1
ID0164,Joe,"Sunday, 3 January, 2021",13:58:05,Streaming,Y,Y,88,203,5
ID0165,Joe,"Sunday, 3 January, 2021",13:58:05,Streaming,N,N,,0,
ID0166,Stewart,"Sunday, 3 January, 2021",13:58:05,Payment related,N,N,,0,
ID0167,Joe,"Sunday, 3 January, 2021",14:03:50,Payment related,Y,Y,84,58,2
ID0168,Diane,"Sunday, 3 January, 2021",14:03:50,Streaming,Y,Y,113,82,3
ID0169,Joe,"Sunday, 3 January, 2021",14:47:02,Streaming,Y,Y,38,331,4
ID0170,Dan,"Sunday, 3 January, 2021",14:47:02,Streaming,Y,Y,14,374,4
ID0171,Martha,"Sunday, 3 January, 2021",15:34:34,Streaming,Y,N,25,332,4
ID0172,Dan,"Sunday, 3 January, 2021",15:34:34,Contract related,N,N,,0,
ID0173,Diane,"Sunday, 3 January, 2021",16:29:17,Technical Support,N,N,,0,
ID0174,Joe,"Sunday, 3 January, 2021",16:29:17,Payment related,Y,Y,117,127,4
ID0175,Stewart,"Sunday, 3 January, 2021",17:31:12,Payment related,Y,N,57,361,2
ID0176,Martha,"Sunday, 3 January, 2021",17:31:12,Technical Support,Y,Y,119,319,5
ID0177,Martha,"Monday, 4 January, 2021",09:01:26,Contract related,N,N,,0,
ID0178,Diane,"Monday, 4 January, 2021",09:01:26,Streaming,Y,Y,93,392,5
ID0179,Martha,"Monday, 4 January, 2021",09:31:41,Payment related,Y,Y,86,64,4
ID0180,Joe,"Monday, 4 January, 2021",09:31:41,Streaming,N,N,,0,
ID0181,Dan,"Monday, 4 January, 2021",09:43:12,Contract related,Y,Y,92,179,3
ID0182,Greg,"Monday, 4 January, 2021",09:43:12,Streaming,N,N,,0,
ID0183,Martha,"Monday, 4 January, 2021",10:03:22,Technical Support,Y,Y,106,342,3
ID0184,Stewart,"Monday, 4 January, 2021",10:03:22,Technical Support,Y,Y,67,164,3
ID0185,Jim,"Monday, 4 January, 2021",10:27:50,Streaming,Y,Y,90,257,3
ID0186,Diane,"Monday, 4 January, 2021",10:27:50,Technical Support,N,N,,0,
ID0187,Becky,"Monday, 4 January, 2021",11:09:36,Streaming,Y,N,50,229,4
ID0188,Diane,"Monday, 4 January, 2021",11:09:36,Admin Support,Y,N,89,256,3
ID0189,Jim,"Monday, 4 January, 2021",11:13:55,Admin Support,Y,Y,74,378,3
ID0190,Martha,"Monday, 4 January, 2021",11:13:55,Payment related,Y,Y,63,142,2
ID0191,Becky,"Monday, 4 January, 2021",11:18:14,Contract related,Y,Y,45,391,5
ID0192,Martha,"Monday, 4 January, 2021",11:18:14,Technical Support,N,N,,0,
ID0193,Dan,"Monday, 4 January, 2021",11:22:34,Payment related,Y,Y,31,403,2
ID0194,Joe,"Monday, 4 January, 2021",11:22:34,Streaming,N,N,,0,
ID0195,Joe,"Monday, 4 January, 2021",11:32:38,Contract related,Y,Y,43,224,5
ID0196,Martha,"Monday, 4 January, 2021",11:32:38,Streaming,Y,Y,50,342,4
ID0197,Dan,"Monday, 4 January, 2021",12:02:53,Technical Support,Y,Y,48,312,4
ID0198,Martha,"Monday, 4 January, 2021",12:02:53,Admin Support,Y,Y,113,164,5
ID0199,Jim,"Monday, 4 January, 2021",12:15:50,Streaming,N,N,,0,
ID0200,Joe,"Monday, 4 January, 2021",12:15:50,Technical Support,Y,Y,103,400,5
ID0201,Becky,"Monday, 4 January, 2021",12:15:50,Technical Support,Y,N,95,267,3
ID0202,Joe,"Monday, 4 January, 2021",12:15:50,Admin Support,Y,Y,30,304,1
ID0203,Greg,"Monday, 4 January, 2021",13:32:10,Admin Support,Y,Y,124,199,3
ID0204,Diane,"Monday, 4 January, 2021",13:32:10,Admin Support,Y,Y,17,123,5
ID0205,Stewart,"Monday, 4 January, 2021",13:45:07,Streaming,Y,Y,113,360,3
ID0206,Jim,"Monday, 4 January, 2021",13:45:07,Technical Support,Y,Y,25,147,5
ID0207,Jim,"Monday, 4 January, 2021",13:56:38,Admin Support,Y,Y,52,262,5
ID0208,Dan,"Monday, 4 January, 2021",13:56:38,Admin Support,Y,Y,28,164,5
ID0209,Greg,"Monday, 4 January, 2021",14:25:26,Technical Support,Y,Y,69,185,3
ID0210,Martha,"Monday, 4 January, 2021",14:25:26,Streaming,Y,Y,106,232,3
ID0211,Jim,"Monday, 4 January, 2021",14:28:19,Technical Support,N,N,,0,
ID0212,Joe,"Monday, 4 January, 2021",14:28:19,Payment related,Y,Y,26,299,3
ID0213,Joe,"Monday, 4 January, 2021",14:31:12,Payment related,Y,Y,53,355,4
ID0214,Martha,"Monday, 4 January, 2021",14:31:12,Technical Support,Y,Y,77,250,2
ID0215,Jim,"Monday, 4 January, 2021",14:49:55,Contract related,Y,Y,45,182,3
ID0216,Becky,"Monday, 4 January, 2021",14:49:55,Technical Support,N,N,,0,
ID0217,Greg,"Monday, 4 January, 2021",15:23:02,Streaming,Y,Y,56,256,4
ID0218,Stewart,"Monday, 4 January, 2021",15:23:02,Admin Support,Y,Y,13,236,2
ID0219,Stewart,"Monday, 4 January, 2021",15:48:58,Admin Support,Y,Y,120,410,5
ID0220,Diane,"Monday, 4 January, 2021",15:48:58,Payment related,Y,Y,22,50,1
ID0221,Martha,"Monday, 4 January, 2021",16:48:00,Payment related,Y,Y,81,201,4
ID0222,Jim,"Monday, 4 January, 2021",16:48:00,Streaming,N,N,,0,
ID0223,Martha,"Monday, 4 January, 2021",16:49:26,Contract related,Y,Y,71,48,2
ID0224,Stewart,"Monday, 4 January, 2021",16:49:26,Payment related,Y,Y,75,93,4
ID0225,Martha,"Monday, 4 January, 2021",16:49:26,Technical Support,Y,Y,77,162,4
ID0226,Joe,"Monday, 4 January, 2021",16:49:26,Streaming,Y,Y,88,387,4
ID0227,Stewart,"Monday, 4 January, 2021",17:35:31,Admin Support,Y,Y,82,185,2
ID0228,Jim,"Monday, 4 January, 2021",17:35:31,Technical Support,Y,Y,110,390,3
ID0229,Martha,"Monday, 4 January, 2021",17:39:50,Admin Support,Y,N,70,92,3
ID0230,Becky,"Monday, 4 January, 2021",17:39:50,Admin Support,Y,Y,117,220,3
ID0231,Joe,"Tuesday, 5 January, 2021",09:08:38,Streaming,Y,Y,18,50,3
ID0232,Joe,"Tuesday, 5 January, 2021",09:08:38,Streaming,Y,Y,113,156,4
ID0233,Stewart,"Tuesday, 5 January, 2021",09:25:55,Contract related,Y,N,68,209,5
ID0234,Greg,"Tuesday, 5 January, 2021",09:25:55,Payment related,Y,Y,67,254,5
ID0235,Joe,"Tuesday, 5 January, 2021",09:33:07,Technical Support,Y,Y,36,67,5
ID0236,Stewart,"Tuesday, 5 January, 2021",09:33:07,Streaming,N,N,,0,
ID0237,Becky,"Tuesday, 5 January, 2021",10:00:29,Technical Support,Y,Y,33,150,1
ID0238,Dan,"Tuesday, 5 January, 2021",10:00:29,Contract related,Y,Y,113,119,5
ID0239,Greg,"Tuesday, 5 January, 2021",10:49:26,Contract related,Y,Y,106,379,3
ID0240,Joe,"Tuesday, 5 January, 2021",10:49:26,Streaming,Y,Y,23,299,3
ID0241,Joe,"Tuesday, 5 January, 2021",11:31:12,Streaming,N,N,,0,
ID0242,Greg,"Tuesday, 5 January, 2021",11:31:12,Payment related,Y,Y,11,282,1
ID0243,Greg,"Tuesday, 5 January, 2021",11:41:17,Contract related,Y,Y,73,285,5
ID0244,Dan,"Tuesday, 5 January, 2021",11:41:17,Admin Support,Y,Y,109,289,5
ID0245,Martha,"Tuesday, 5 January, 2021",11:49:55,Payment related,Y,Y,29,254,4
ID0246,Dan,"Tuesday, 5 January, 2021",11:49:55,Streaming,N,N,,0,
ID0247,Becky,"Tuesday, 5 January, 2021",11:49:55,Admin Support,Y,Y,81,74,4
ID0248,Greg,"Tuesday, 5 January, 2021",11:49:55,Contract related,Y,Y,59,232,1
ID0249,Becky,"Tuesday, 5 January, 2021",12:00:00,Streaming,Y,Y,32,389,4
ID0250,Martha,"Tuesday, 5 January, 2021",12:00:00,Admin Support,Y,Y,116,42,4
ID0251,Diane,"Tuesday, 5 January, 2021",12:12:58,Payment related,Y,Y,92,115,5
ID0252,Greg,"Tuesday, 5 January, 2021",12:12:58,Streaming,Y,Y,62,362,5
ID0253,Joe,"Tuesday, 5 January, 2021",13:04:48,Payment related,Y,Y,83,113,5
ID0254,Joe,"Tuesday, 5 January, 2021",13:04:48,Admin Support,Y,Y,71,151,3
ID0255,Greg,"Tuesday, 5 January, 2021",13:59:31,Admin Support,Y,N,74,272,3
ID0256,Joe,"Tuesday, 5 January, 2021",13:59:31,Technical Support,Y,Y,96,346,4
ID0257,Diane,"Tuesday, 5 January, 2021",14:42:43,Admin Support,Y,Y,110,101,1
ID0258,Jim,"Tuesday, 5 January, 2021",14:42:43,Streaming,Y,N,110,158,3
ID0259,Dan,"Tuesday, 5 January, 2021",15:18:43,Technical Support,Y,Y,117,183,4
ID0260,Becky,"Tuesday, 5 January, 2021",15:18:43,Admin Support,Y,Y,44,353,3
ID0261,Diane,"Tuesday, 5 January, 2021",15:20:10,Contract related,Y,Y,47,362,4
ID0262,Greg,"Tuesday, 5 January, 2021",15:20:10,Admin Support,Y,Y,97,76,3
ID0263,Greg,"Tuesday, 5 January, 2021",15:31:41,Streaming,Y,Y,67,159,4
ID0264,Diane,"Tuesday, 5 January, 2021",15:31:41,Streaming,Y,Y,72,408,3
ID0265,Becky,"Tuesday, 5 January, 2021",15:31:41,Contract related,Y,Y,68,261,3
ID0266,Joe,"Tuesday, 5 January, 2021",15:31:41,Payment related,Y,Y,98,382,5
ID0267,Joe,"Tuesday, 5 January, 2021",15:37:26,Streaming,Y,Y,120,56,3
ID0268,Dan,"Tuesday, 5 January, 2021",15:37:26,Payment related,Y,Y,13,153,1
ID0269,Jim,"Tuesday, 5 January, 2021",15:44:38,Admin Support,Y,Y,95,107,5
ID0270,Martha,"Tuesday, 5 January, 2021",15:44:38,Payment related,Y,Y,31,42,5
ID0271,Dan,"Tuesday, 5 January, 2021",16:06:14,Streaming,Y,Y,113,382,3
ID0272,Martha,"Tuesday, 5 January, 2021",16:06:14,Technical Support,Y,Y,116,280,3
ID0273,Martha,"Tuesday, 5 January, 2021",16:16:19,Admin Support,Y,N,94,329,5
ID0274,Martha,"Tuesday, 5 January, 2021",16:16:19,Admin Support,Y,N,51,282,4
ID0275,Diane,"Tuesday, 5 January, 2021",16:27:50,Technical Support,Y,Y,60,247,4
ID0276,Diane,"Tuesday, 5 January, 2021",16:27:50,Contract related,Y,Y,59,364,2
ID0277,Stewart,"Tuesday, 5 January, 2021",17:25:26,Technical Support,N,N,,0,
ID0278,Greg,"Tuesday, 5 January, 2021",17:25:26,Payment related,N,N,,0,
ID0279,Joe,"Tuesday, 5 January, 2021",17:29:46,Technical Support,N,N,,0,
ID0280,Dan,"Tuesday, 5 January, 2021",17:29:46,Contract related,Y,Y,16,213,4
ID0281,Diane,"Tuesday, 5 January, 2021",17:38:24,Technical Support,Y,Y,81,111,3
ID0282,Joe,"Tuesday, 5 January, 2021",17:38:24,Streaming,Y,Y,65,406,1
ID0283,Martha,"Tuesday, 5 January, 2021",17:44:10,Streaming,Y,Y,55,184,2
ID0284,Martha,"Tuesday, 5 January, 2021",17:44:10,Technical Support,N,N,,0,
ID0285,Martha,"Tuesday, 5 January, 2021",17:57:07,Technical Support,Y,Y,31,145,4
ID0286,Diane,"Tuesday, 5 January, 2021",17:57:07,Streaming,Y,Y,45,313,2
ID0287,Greg,"Wednesday, 6 January, 2021",09:08:38,Technical Support,N,N,,0,
ID0288,Stewart,"Wednesday, 6 January, 2021",09:08:38,Payment related,Y,Y,43,129,5
ID0289,Stewart,"Wednesday, 6 January, 2021",10:06:14,Technical Support,Y,Y,55,356,4
ID0290,Stewart,"Wednesday, 6 January, 2021",10:06:14,Contract related,Y,Y,63,139,3
ID0291,Joe,"Wednesday, 6 January, 2021",10:07:41,Payment related,N,N,,0,
ID0292,Jim,"Wednesday, 6 January, 2021",10:07:41,Contract related,Y,Y,122,352,1
ID0293,Stewart,"Wednesday, 6 January, 2021",10:32:10,Contract related,Y,Y,71,159,4
ID0294,Jim,"Wednesday, 6 January, 2021",10:32:10,Technical Support,Y,Y,54,297,4
ID0295,Stewart,"Wednesday, 6 January, 2021",10:42:14,Streaming,Y,Y,74,202,4
ID0296,Stewart,"Wednesday, 6 January, 2021",10:42:14,Admin Support,Y,Y,125,287,4
ID0297,Dan,"Wednesday, 6 January, 2021",11:12:29,Payment related,Y,Y,110,223,3
ID0298,Becky,"Wednesday, 6 January, 2021",11:12:29,Streaming,N,N,,0,
